movie_id,runtime
370172,163
158282,79
389,97
1280,88
2009,114
19913,95
268536,130
16804,130
63311,120
506815,106
40044,82
585378,96
420817,128
73873,113
891,138
24684,100
61891,130
24243,106
299534,181
46647,80
16876,87
451915,121
10020,84
777270,98
898,147
8338,121
4995,156
62177,93
296098,141
398818,132
517814,126
267,103
10515,125
2255,114
83542,172
22794,90
39538,106
139848,52
152532,117
104153,105
582,137
74308,98
447404,105
1832,130
646380,138
141,114
372754,61
172533,90
580175,117
438631,155
23619,111
15044,90
1807,81
497582,123
209263,93
8841,128
72660,17
234284,106
4193,117
345,159
458737,113
109445,102
315837,107
5279,131
49047,91
556574,160
11787,104
152601,126
376865,113
237791,96
103328,115
205,121
10191,98
9685,97
8321,108
454286,105
171274,149
5915,148
31442,95
12545,108
100,105
546554,131
439,176
10340,76
60141,163
75491,100
443463,110
718032,133
1440,136
331482,135
240832,89
1913,125
44754,150
50839,107
24238,92
624860,148
305603,104
615643,115
83666,94
337401,115
25468,110
129670,115
597208,150
581734,108
75656,116
32958,106
2013,112
508439,103
73919,101
50270,99
77174,90
86976,103
2011,95
10693,77
12104,95
71157,123
4348,127
14337,77
458342,123
57979,89
568124,102
809970,106
487558,135
671652,61
441924,78
1833,135
641,102
1580,81
57965,96
140823,125
424,195
273895,127
73861,104
273481,122
10882,75
993,138
84341,85
408,83
429617,129
616651,139
587248,80
64639,110
49020,97
30020,99
37135,88
662612,2
123678,159
414906,176
318846,131
537996,132
444539,110
10315,87
565310,100
600354,97
162903,128
446807,115
120467,100
316029,105
926899,97
617653,153
26331,120
503919,109
8587,89
10144,83
1847,112
121,179
34576,92
84892,103
600583,127
10198,98
11319,78
281957,157
372343,119
157386,95
436969,132
727293,104
9662,80
629,106
619263,87
147773,103
284053,131
359940,115
537116,120
65229,82
396535,118
627,94
546,103
44945,104
46838,89
76543,93
752,132
339964,136
32636,119
76025,102
8885,90
13183,163
97690,93
71859,113
734593,1
244786,107
39013,101
464052,151
11148,86
11878,110
935,95
13398,93
789,93
11336,103
23954,104
634649,148
437586,86
