title,season,year
Bojack Horseman,All,
Space Force,1,
Sex Education,1,
The Wire,All,
The Sinner,1-4,
Better Call Saul,1-4,
Normal People,1,
Sishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,1,
Barry,All,
Leftovers,All,
Young Wallander,1-2,
Lily and Dash,1,
Hilda,1-2,
Lupin,1,
Usagi Drop,1,
Kids on the Slope,1,
Hyouka,1,
Mare of Easttown,1,
Invincible,1,
The Gokusen,1,
After Life,1-2,
Feel Good,1-2,
Deadwood,1,
The White Lotus,1,
Chernobyl,1,
The Miniaturist,1,
Jupter's Legacy,1,
The Sopranos,1,
The Third Day,1,
Rick'n'Morty,1-5,
The Twelve of the Jury,1,
The Swamp Thing,1,
pt-BR: A Bagunça que ficou,1,
pt-BR: O Homem das Catanhas,1,
Succession,1-2,
The Capture,1,
pt-BR: Califado,1,
Ojisan to Marshmallow,1,
State of Play UK,1,
The Maid,1,
Dopesick,1,
Dr. Death,1,
The Premisse,1,
Strike,1-3,
Odeal by Innocence,1,
Raised by Wolves,1,
Counterpart,1-2,
Miracle Workers,1,
Marvel's Runaways,1,
The Knick,1,
Galavant,1,
Carnivale,1,
Rectify,1,
From,1,
Severance,1,
Generation Kill,1,
Show me a Hero,1,
Slow Horses,1,
Voir,1,
Heartstopper,1,
Patriot,1,
Breaking Bad,All,
The Critic ,1-2,
Detroit Metal City,1,
Evangelion: Reanimation,1,
Everwood,All,
Flashpoint,All,
Fringe,1-3,
Gilmore Girls,1-5,
Hannibal,All,
Higurashi no Naku Koro ni Kai,1,
Hourou Musuko: Wandering Son,1,
Kare Kano,1,
NHK ni Youkoso,1,
Newsroom,All,
Pushing Daysies,All,
Rainbow,1,
Treme,1-2,
The Garden of Words,1,
The Killing,1,
The Maxx,1,
Ugly Americans,1,
United States of Tara,All,
